"","Member","Year","Leadtime","Precipitation"
"159",8,1988,2,1.72595654633941
"160",9,1988,2,1.41050514858623
"161",10,1988,2,1.85866099172018
"162",11,1988,2,2.29170194721994
"163",12,1988,2,1.45309389087325
"164",13,1988,2,3.45408378232328
"165",14,1988,2,4.08869275105076
"166",15,1988,2,3.20487867591942
"167",16,1988,2,1.39689500317505
"168",17,1988,2,2.95978065406457
"169",18,1988,2,2.46068314265367
"170",19,1988,2,4.25634770501312
"171",20,1988,2,1.51879767616798
"172",21,1988,2,2.01555899442642
"173",22,1988,2,1.11117173694152
"174",23,1988,2,2.71087747531682
"175",24,1988,2,2.00069682930465
"176",0,1989,2,3.10496656414297
"177",1,1989,2,3.18194420178263
"178",2,1989,2,2.40538777013958
"179",3,1989,2,3.45223572890613
"180",4,1989,2,3.36106391358783
"181",5,1989,2,3.01279728390326
"182",6,1989,2,2.45110106460421
"183",7,1989,2,2.07924249273169
"184",8,1989,2,2.24277200630271
"185",9,1989,2,4.53369022904485
"186",10,1989,2,3.35229379794136
"187",11,1989,2,2.93673679271076
"188",12,1989,2,1.44835699042385
"189",13,1989,2,2.34666929115215
"190",14,1989,2,4.46717852344309
"191",15,1989,2,2.55134023154129
"192",16,1989,2,2.53218544430054
"193",17,1989,2,2.03219978103464
"194",18,1989,2,2.9335103518783
"195",19,1989,2,2.88936062668924
"196",20,1989,2,2.5571559642921
"197",21,1989,2,2.81095524082755
"198",22,1989,2,2.18180300838495
"199",23,1989,2,3.96242080269479
"200",24,1989,2,3.31253428015016
"201",0,1990,2,3.23915583982724
"202",1,1990,2,1.71407835830229
"203",2,1990,2,3.8102755652819
"204",3,1990,2,1.58573838101256
"205",4,1990,2,3.15005051913349
"206",5,1990,2,3.01975157887247
"207",6,1990,2,2.87086746472256
"208",7,1990,2,2.34213383926318
"209",8,1990,2,2.61810033738343
"210",9,1990,2,3.50453590537204
"211",10,1990,2,3.97142526227756
"212",11,1990,2,4.43501348656116
"213",12,1990,2,3.41055542737537
"214",13,1990,2,3.28279078951777
"215",14,1990,2,2.33722763582929
"216",15,1990,2,2.1862897280196
"217",16,1990,2,1.67275635387789
"218",17,1990,2,2.35111191242628
"219",18,1990,2,2.59345301161167
"220",19,1990,2,2.2101472197084
"221",20,1990,2,2.49260643951939
"222",21,1990,2,4.15938684429595
"223",22,1990,2,3.30615467595874
"224",23,1990,2,2.64669329139694
"225",24,1990,2,2.29573685333261
"226",0,1991,2,2.81610986411172
"227",1,1991,2,3.06540567006162
"228",2,1991,2,3.68732836017694
"229",3,1991,2,1.89196744930607
"230",4,1991,2,2.47645044565011
"231",5,1991,2,2.08657224288187
"232",6,1991,2,2.05685474424355
"233",7,1991,2,3.27574387945685
"234",8,1991,2,2.20518288863157
"235",9,1991,2,1.94923566051192
"236",10,1991,2,4.81440501746861
"237",11,1991,2,2.42045138977939
"238",12,1991,2,3.60134656676077
"239",13,1991,2,2.94487699149512
"240",14,1991,2,2.46634734172161
"241",15,1991,2,2.85181671442228
"242",16,1991,2,1.43079094378417
"243",17,1991,2,3.93032188940463
"244",18,1991,2,3.93464413865999
"245",19,1991,2,2.29692037322637
"246",20,1991,2,2.37365032438795
"247",21,1991,2,2.978535161509
"248",22,1991,2,1.42316170290766
"249",23,1991,2,2.82914996586727
"250",24,1991,2,3.06311543400679
"251",0,1992,2,3.3064635233111
"252",1,1992,2,2.24142136442206
"253",2,1992,2,1.83438754242282
"254",3,1992,2,3.34728112157575
"255",4,1992,2,2.76671468767093
"256",5,1992,2,2.33739623615101
"257",6,1992,2,4.18247375347178
"258",7,1992,2,2.12693576681833
"259",8,1992,2,2.2515692047255
"260",9,1992,2,2.47263773337885
"261",10,1992,2,1.65660385423136
"262",11,1992,2,3.16990481476613
"263",12,1992,2,3.19811227341845
"264",13,1992,2,1.95508072574285
"265",14,1992,2,1.6810765621645
"266",15,1992,2,3.17561203930283
"267",16,1992,2,1.97079200791543
"268",17,1992,2,4.82292880284734
"269",18,1992,2,4.10087224520921
"270",19,1992,2,4.15666719369514
"271",20,1992,2,2.58001049617145
"272",21,1992,2,2.07858483417655
"273",22,1992,2,3.72994194803747
"274",23,1992,2,3.12687540610077
"275",24,1992,2,2.87971395431296
"276",0,1993,2,3.37910149958343
"277",1,1993,2,2.71654041998988
"278",2,1993,2,3.28969408089681
"279",3,1993,2,2.49250587232344
"280",4,1993,2,2.91496015094307
"281",5,1993,2,3.04918598476565
"282",6,1993,2,5.16862156042816
"283",7,1993,2,1.7863307399754
"284",8,1993,2,3.05049783044605
"285",9,1993,2,1.39190920473801
"286",10,1993,2,2.01865069615974
"287",11,1993,2,1.72884298034075
"288",12,1993,2,2.67926446214915
"289",13,1993,2,3.58397569518183
"290",14,1993,2,2.55408080356615
"291",15,1993,2,3.21862082796622
"292",16,1993,2,4.62802926291045
"293",17,1993,2,3.02073448246414
"294",18,1993,2,2.04032032162357
"295",19,1993,2,3.24931689883565
"296",20,1993,2,2.35557645412391
"297",21,1993,2,2.16889609452079
"298",22,1993,2,2.27522439804393
"299",23,1993,2,1.56111685181407
"300",24,1993,2,3.23735806060974
"301",0,1994,2,3.29620014941151
"302",1,1994,2,3.64255394022317
"303",2,1994,2,3.82403069346255
"304",3,1994,2,3.10941665033049
"305",4,1994,2,3.3911317397348
"306",5,1994,2,3.75085634952762
"307",6,1994,2,2.70047369754976
"308",7,1994,2,2.46516101898391
"309",8,1994,2,4.64337202338409
"310",9,1994,2,4.17577087293844
"311",10,1994,2,3.15471433160681
"312",11,1994,2,1.51790369041534
"313",12,1994,2,2.50009549757862
"314",13,1994,2,2.1541972937903
"315",14,1994,2,2.58758471413973
"316",15,1994,2,2.51982949627107
"317",16,1994,2,3.03149159045407
"318",17,1994,2,4.53973746102822
"319",18,1994,2,2.34435264357205
"320",19,1994,2,3.55621680814977
"321",20,1994,2,3.54597462390084
"322",21,1994,2,2.597816299157
"323",22,1994,2,4.64834695506715
"324",23,1994,2,2.65238560351348
"325",24,1994,2,2.43876401889225
"326",0,1995,2,3.22982648120913
"327",1,1995,2,3.19201667626165
"328",2,1995,2,4.44782402635039
"329",3,1995,2,4.1135336688719
"330",4,1995,2,2.59559495112002
"331",5,1995,2,1.6740053078286
"332",6,1995,2,3.18194714344751
"333",7,1995,2,2.13265736395885
"334",8,1995,2,3.10544539919969
"335",9,1995,2,2.41059214295779
"336",10,1995,2,1.62233006317263
"337",11,1995,2,2.5041418706764
"338",12,1995,2,2.63425538594985
"339",13,1995,2,3.12660945717316
"340",14,1995,2,3.03689158720677
"341",15,1995,2,1.60627513580118
"342",16,1995,2,2.77948867599734
"343",17,1995,2,1.6327834445787
"344",18,1995,2,1.4216288539757
"345",19,1995,2,3.31302605400166
"346",20,1995,2,2.79934959496585
"347",21,1995,2,3.30489833270236
"348",22,1995,2,1.93265214926184
"349",23,1995,2,2.68292643168706
"350",24,1995,2,3.80912017323864
"351",0,1996,2,2.0664536983059
"352",1,1996,2,3.68304220971499
"353",2,1996,2,1.45376630830286
"354",3,1996,2,2.78137595787936
"355",4,1996,2,4.04416699762364
"356",5,1996,2,3.02161474831824
"357",6,1996,2,2.4844561959234
"358",7,1996,2,2.8378926496826
"359",8,1996,2,2.93738182768572
"360",9,1996,2,3.47727763535601
"361",10,1996,2,3.92033232097692
"362",11,1996,2,3.71576229043251
"363",12,1996,2,3.08442178760579
"364",13,1996,2,5.01227758093926
"365",14,1996,2,0.899358091232732
"366",15,1996,2,3.75056633474996
"367",16,1996,2,2.45242386259716
"368",17,1996,2,2.18453556163112
"369",18,1996,2,4.52978835645478
"370",19,1996,2,2.20748067689572
"371",20,1996,2,4.07765371517308
"372",21,1996,2,2.37209701645239
"373",22,1996,2,2.09388614044922
"374",23,1996,2,3.11419588988721
"375",24,1996,2,3.92250112912495
"376",0,1997,2,3.0973375632643
"377",1,1997,2,1.38430058833076
"378",2,1997,2,3.43251007773392
"379",3,1997,2,3.21784176647342
"380",4,1997,2,1.54508920813896
"381",5,1997,2,2.39085817822738
"382",6,1997,2,3.59393416691607
"383",7,1997,2,1.54803615445883
"384",8,1997,2,1.45281110501024
"385",9,1997,2,2.7791234347475
"386",10,1997,2,1.63946834975701
"387",11,1997,2,1.18320443265181
"388",12,1997,2,1.00116600285633
"389",13,1997,2,1.96881089187914
"390",14,1997,2,3.16434988312962
"391",15,1997,2,2.33424201287657
"392",16,1997,2,2.71497689750181
"393",17,1997,2,1.66960784567491
"394",18,1997,2,1.55715726390871
"395",19,1997,2,4.24105791770635
"396",20,1997,2,2.4187986434376
"397",21,1997,2,2.64660388413926
"398",22,1997,2,2.76669135963098
"399",23,1997,2,3.21300843061742
"400",24,1997,2,1.38812722792895
"401",0,1998,2,2.05653644570109
"402",1,1998,2,3.53389325243253
"403",2,1998,2,4.25222956316791
"404",3,1998,2,2.55319935258859
"405",4,1998,2,2.03569780551437
"406",5,1998,2,3.40564250983368
"407",6,1998,2,3.31014058530942
"408",7,1998,2,3.79530306502384
"409",8,1998,2,1.71401603463151
"410",9,1998,2,2.53431229550045
"411",10,1998,2,2.63700901762898
"412",11,1998,2,3.20651017107023
"413",12,1998,2,2.45956840838954
"414",13,1998,2,3.23417731379938
"415",14,1998,2,1.99753288691537
"416",15,1998,2,2.25184974480928
"417",16,1998,2,1.50972596795067
"418",17,1998,2,3.11658133795269
"419",18,1998,2,1.88733009416487
"420",19,1998,2,1.71185016678474
"421",20,1998,2,2.55098592617868
"422",21,1998,2,2.81129406060471
"423",22,1998,2,1.15411678898285
"424",23,1998,2,2.15226892998473
"425",24,1998,2,2.78992821942245
"426",0,1999,2,3.6322160775996
"427",1,1999,2,2.86431723793239
"428",2,1999,2,2.94668734160167
"429",3,1999,2,2.92236818806118
"430",4,1999,2,2.46993613493801
"431",5,1999,2,2.84432842184144
"432",6,1999,2,2.41640436375574
"433",7,1999,2,1.50484744642215
"434",8,1999,2,1.78466735132999
"435",9,1999,2,2.46306448186627
"436",10,1999,2,3.13157222769098
"437",11,1999,2,2.33597930885218
"438",12,1999,2,3.60033422604402
"439",13,1999,2,1.91271150843596
"440",14,1999,2,1.33590908538751
"441",15,1999,2,2.74053437596119
"442",16,1999,2,2.80571395942139
"443",17,1999,2,2.08822431552434
"444",18,1999,2,2.17559815021614
"445",19,1999,2,1.66328199281729
"446",20,1999,2,2.08160278804206
"447",21,1999,2,2.34536733950591
"448",22,1999,2,2.42509357961058
"449",23,1999,2,2.43042547031826
"450",24,1999,2,2.70327709439199
"451",0,2000,2,2.59505774100585
"452",1,2000,2,3.91579627606049
"453",2,2000,2,2.47641619522154
"454",3,2000,2,2.56063186728961
"455",4,2000,2,2.78887203235015
"456",5,2000,2,3.35396284846294
"457",6,2000,2,0.959066192803179
"458",7,2000,2,3.18197226112263
"459",8,2000,2,1.72425795552516
"460",9,2000,2,3.86411955835373
"461",10,2000,2,3.61783436929347
"462",11,2000,2,2.09406110978615
"463",12,2000,2,2.89024744267079
"464",13,2000,2,1.89798014177897
"465",14,2000,2,2.59850428457484
"466",15,2000,2,1.93246716100695
"467",16,2000,2,3.80155253928256
"468",17,2000,2,3.74671313467194
"469",18,2000,2,1.90076051312744
"470",19,2000,2,3.0980530615306
"471",20,2000,2,3.74856623136352
"472",21,2000,2,2.4397770159583
"473",22,2000,2,2.354963859774
"474",23,2000,2,1.99805294028356
"475",24,2000,2,4.29032910503136
"476",0,2001,2,2.20169099722004
"477",1,2001,2,3.07688792034479
"478",2,2001,2,2.26290940796885
"479",3,2001,2,3.39103018309829
"480",4,2001,2,0.763798096900915
"481",5,2001,2,2.50619271998659
"482",6,2001,2,1.90733227789886
"483",7,2001,2,0.686044198633129
"484",8,2001,2,3.41845857079067
"485",9,2001,2,2.91873235207215
"486",10,2001,2,3.58052064710915
"487",11,2001,2,4.19125967731584
"488",12,2001,2,3.41659888425627
"489",13,2001,2,3.54572200908151
"490",14,2001,2,2.08729795806698
"491",15,2001,2,2.21470163091407
"492",16,2001,2,2.39021481945437
"493",17,2001,2,2.55277416057749
"494",18,2001,2,2.73398154393986
"495",19,2001,2,1.63424049479078
"496",20,2001,2,4.05067269368529
"497",21,2001,2,2.70455108704332
"498",22,2001,2,4.98358621329694
"499",23,2001,2,2.561114882316
"500",24,2001,2,2.38440915852089
"501",0,2002,2,2.52209817942301
"502",1,2002,2,2.61212281554277
"503",2,2002,2,1.72346004012391
"504",3,2002,2,2.21323913151947
"505",4,2002,2,2.13873338316717
"506",5,2002,2,4.46866104932911
"507",6,2002,2,1.39888739739093
"508",7,2002,2,1.79526179752216
"509",8,2002,2,2.89322396522345
"510",9,2002,2,3.89583135218365
"511",10,2002,2,1.09880587628142
"512",11,2002,2,3.89418415709613
"513",12,2002,2,2.56039950956224
"514",13,2002,2,2.30261573277587
"515",14,2002,2,2.91930562443944
"516",15,2002,2,1.71344140249732
"517",16,2002,2,2.54844005472615
"518",17,2002,2,3.03586850592403
"519",18,2002,2,3.45213462977414
"520",19,2002,2,2.20304532316964
"521",20,2002,2,2.37112693880287
"522",21,2002,2,1.92573779749176
"523",22,2002,2,4.32910359409064
"524",23,2002,2,3.06649047972702
"525",24,2002,2,3.36825520870793
"526",0,2003,2,3.62561555426027
"527",1,2003,2,2.17912328379383
"528",2,2003,2,2.4248533666364
"529",3,2003,2,2.31388678903737
"530",4,2003,2,4.18512274939681
"531",5,2003,2,1.71355751033358
"532",6,2003,2,2.5816272322781
"533",7,2003,2,1.90455996600323
"534",8,2003,2,0.919975621637827
"535",9,2003,2,3.30781709194186
"536",10,2003,2,3.41674752433239
"537",11,2003,2,0.903195120230538
"538",12,2003,2,3.32837910457498
"539",13,2003,2,2.49287630523227
"540",14,2003,2,2.25331026208172
"541",15,2003,2,0.574797985333401
"542",16,2003,2,2.24688959350199
"543",17,2003,2,2.28808440322256
"544",18,2003,2,2.17468825600954
"545",19,2003,2,2.35543301915414
"546",20,2003,2,2.82404245098742
"547",21,2003,2,3.22828978430182
"548",22,2003,2,0.964721819531413
"549",23,2003,2,1.5211646925628
"550",24,2003,2,1.30285947402375
"551",0,2004,2,3.70831164384989
"552",1,2004,2,3.33301603742003
"553",2,2004,2,3.31118592980855
"554",3,2004,2,2.40568133939752
"555",4,2004,2,1.83797804227144
"556",5,2004,2,1.1896663890147
"557",6,2004,2,1.28495448100892
"558",7,2004,2,2.47171397373473
"559",8,2004,2,2.14423479560779
"560",9,2004,2,1.28158860845134
"561",10,2004,2,4.38039050390175
"562",11,2004,2,1.97387892600342
"563",12,2004,2,1.6402766498853
"564",13,2004,2,1.71144659722095
"565",14,2004,2,4.13569408206878
"566",15,2004,2,1.60081901666293
"567",16,2004,2,2.67713261784335
"568",17,2004,2,1.92508362017031
"569",18,2004,2,2.01068658811633
"570",19,2004,2,2.93435562820817
"571",20,2004,2,1.98743523723243
"572",21,2004,2,2.2126923768663
"573",22,2004,2,1.42425655477245
"574",23,2004,2,2.52976111106618
"575",24,2004,2,3.32546362958554
"576",0,2005,2,1.33583610791439
"577",1,2005,2,2.80239132144084
"578",2,2005,2,3.05747686787035
"579",3,2005,2,3.76240542018627
"580",4,2005,2,1.97865836754277
"581",5,2005,2,3.08039149123709
"582",6,2005,2,3.5009055298496
"583",7,2005,2,3.97632888749864
"584",8,2005,2,1.54969680344893
"585",9,2005,2,1.08627051460755
"586",10,2005,2,3.12505563595576
"587",11,2005,2,2.21080940981554
"588",12,2005,2,3.42366896189698
"589",13,2005,2,1.37316218246817
"590",14,2005,2,1.88461957310634
"591",15,2005,2,2.6949842948109
"592",16,2005,2,3.10030476480816
"593",17,2005,2,1.27799753479303
"594",18,2005,2,3.25335818598351
"595",19,2005,2,2.03775879810704
"596",20,2005,2,2.54252452169064
"597",21,2005,2,2.67961899846309
"598",22,2005,2,3.14022444056764
"599",23,2005,2,2.99664383128048
"600",24,2005,2,2.2197396830615
"601",0,2006,2,0.826426862152662
"602",1,2006,2,2.91310358881756
"603",2,2006,2,3.32578942683376
"604",3,2006,2,3.77610222309295
"605",4,2006,2,3.3169095987079
"606",5,2006,2,2.06389214384015
"607",6,2006,2,2.02655748157191
"608",7,2006,2,2.46982089687461
"609",8,2006,2,2.13125255598283
"610",9,2006,2,1.84288558463518
"611",10,2006,2,2.55362047103416
"612",11,2006,2,2.68522597435964
"613",12,2006,2,2.96979144467291
"614",13,2006,2,2.17645647256393
"615",14,2006,2,1.11049500539639
"616",15,2006,2,1.61101152563966
"617",16,2006,2,2.27481418318963
"618",17,2006,2,3.29706238711429
"619",18,2006,2,1.56754988791357
"620",19,2006,2,1.6240585449681
"621",20,2006,2,1.99283308935025
"622",21,2006,2,1.21288810967994
"623",22,2006,2,2.70849369852737
"624",23,2006,2,4.26417929460538
"625",24,2006,2,2.25424252456064
"626",0,2007,2,1.93086330603418
"627",1,2007,2,4.06176707028638
"628",2,2007,2,2.2090105453331
"629",3,2007,2,2.80603974575006
"630",4,2007,2,0.715044743474216
"631",5,2007,2,2.81259996277621
"632",6,2007,2,2.49871510533232
"633",7,2007,2,1.49904066665502
"634",8,2007,2,4.00631205180129
"635",9,2007,2,2.02488093749275
"636",10,2007,2,0.814309808310803
"637",11,2007,2,1.78337913943933
"638",12,2007,2,4.38672286123838
"639",13,2007,2,1.85001542121234
"640",14,2007,2,1.67555481226178
"641",15,2007,2,1.37229540785487
"642",16,2007,2,1.93324214606169
"643",17,2007,2,3.03033527446603
"644",18,2007,2,2.69161936192202
"645",19,2007,2,2.62947643530365
"646",20,2007,2,3.49961975395849
"647",21,2007,2,2.27668359085067
"648",22,2007,2,3.87495436821328
"649",23,2007,2,3.89993286421251
"650",24,2007,2,3.01998051929308
"651",0,2008,2,3.02656496698697
"652",1,2008,2,2.51228208165692
"653",2,2008,2,2.91589775583088
"654",3,2008,2,2.81057221084717
"655",4,2008,2,1.52516689201864
"656",5,2008,2,2.00769222232191
"657",6,2008,2,1.79867126737079
"658",7,2008,2,2.1301012711724
"659",8,2008,2,1.90528965511
"660",9,2008,2,2.30322879633926
"661",10,2008,2,2.67428444686164
"662",11,2008,2,1.92243402257161
"663",12,2008,2,3.13561569462182
"664",13,2008,2,3.9463115645063
"665",14,2008,2,2.23241496586193
"666",15,2008,2,3.00141708713076
"667",16,2008,2,2.3720620372445
"668",17,2008,2,1.65585189314044
"669",18,2008,2,3.42778091192263
"670",19,2008,2,2.09617241902106
"671",20,2008,2,3.372224470273
"672",21,2008,2,1.88038867445305
"673",22,2008,2,2.13368996097571
"674",23,2008,2,1.32975650310099
"675",24,2008,2,1.49408478604576
"676",0,2009,2,1.89484688591976
"677",1,2009,2,3.00316565043063
"678",2,2009,2,1.47013649329399
"679",3,2009,2,1.45372082761905
"680",4,2009,2,3.66081856032496
"681",5,2009,2,1.12347956578862
"682",6,2009,2,3.00106105417217
"683",7,2009,2,4.39614325177315
"684",8,2009,2,2.1140691138032
"685",9,2009,2,2.95266432274036
"686",10,2009,2,3.23733815635387
"687",11,2009,2,2.70254250156856
"688",12,2009,2,2.41566330238345
"689",13,2009,2,1.79172865988824
"690",14,2009,2,2.4521456637745
"691",15,2009,2,2.86901930054164
"692",16,2009,2,2.85051699248982
"693",17,2009,2,1.58744932865197
"694",18,2009,2,5.23294423586543
"695",19,2009,2,4.03684365792327
"696",20,2009,2,1.76056255226663
"697",21,2009,2,3.62970507132954
"698",22,2009,2,1.12460060084889
"699",23,2009,2,2.6610877675506
"700",24,2009,2,3.24845159735038
"701",0,2010,2,1.34316730934832
"702",1,2010,2,0.900562682626435
"703",2,2010,2,1.0314457456032
"704",3,2010,2,1.16904198586573
"705",4,2010,2,2.53995885299126
"706",5,2010,2,2.43653062707845
"707",6,2010,2,1.62270641811449
"708",7,2010,2,2.32905574766974
"709",8,2010,2,1.56149934703476
"710",9,2010,2,2.97026620934199
"711",10,2010,2,2.55259355047332
"712",11,2010,2,4.41806098923739
"713",12,2010,2,3.79049132712907
"714",13,2010,2,1.88233656062107
"715",14,2010,2,3.10249342969576
"716",15,2010,2,1.27766399980998
"717",16,2010,2,2.81295547367885
"718",17,2010,2,3.2621583068991
"719",18,2010,2,2.99359418275761
"720",19,2010,2,1.18017953432903
"721",20,2010,2,3.03962747679155
"722",21,2010,2,4.08840020269426
"723",22,2010,2,2.48027270937838
"724",23,2010,2,2.10137727501304
"725",24,2010,2,3.77008146403617
"726",0,2011,2,3.42254720486375
"727",1,2011,2,2.56997683327687
"728",2,2011,2,2.64432581800713
"729",3,2011,2,0.903221358369305
"730",4,2011,2,1.15778616786515
"731",5,2011,2,1.25119871961778
"732",6,2011,2,3.1216162457714
"733",7,2011,2,2.02834193801568
"734",8,2011,2,2.62428535393842
"735",9,2011,2,3.69520225910882
"736",10,2011,2,3.24702394723922
"737",11,2011,2,2.35522978555535
"738",12,2011,2,1.8858105767568
"739",13,2011,2,3.22295605852141
"740",14,2011,2,3.19927029124598
"741",15,2011,2,1.7090910463466
"742",16,2011,2,3.3399649036544
"743",17,2011,2,2.77873227148025
"744",18,2011,2,2.29380079367572
"745",19,2011,2,2.76541925665239
"746",20,2011,2,1.11833248576364
"747",21,2011,2,2.99875196439999
"748",22,2011,2,3.84770529535264
"749",23,2011,2,1.33859836541803
"750",24,2011,2,2.72628048102768
"751",0,2012,2,2.0154006661959
"752",1,2012,2,1.87233691243551
"753",2,2012,2,2.13046777565015
"754",3,2012,2,2.75584916798305
"755",4,2012,2,2.72863989795936
"756",5,2012,2,3.91437548642165
"757",6,2012,2,2.65378209175988
"758",7,2012,2,5.67110777433252
"759",8,2012,2,4.13177210095731
"760",9,2012,2,2.64760134159663
"761",10,2012,2,2.53123000681442
"762",11,2012,2,2.51723567968411
"763",12,2012,2,2.50222675716455
"764",13,2012,2,3.03543527118074
"765",14,2012,2,2.33716212689809
"766",15,2012,2,2.99489389844249
"767",16,2012,2,3.94447316650996
"768",17,2012,2,2.28585299389377
"769",18,2012,2,3.83911358994034
"770",19,2012,2,1.68536250424159
"771",20,2012,2,2.19651614059589
"772",21,2012,2,1.06039767231117
"773",22,2012,2,4.84587033375097
"774",23,2012,2,1.02596868898046
"775",24,2012,2,4.37435829168621
